url,md5,Data collection,Data type,Analysis group,Sample,Population,Data reuse policy
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR151/004/SRR1517864/SRR1517864_1.fastq.gz,feb83d746470a51d15ea265645d542e5,1000 Genomes on GRCh38,sequence,Exome,HG01583,"Punjabi in Lahore, Pakistan",http://www.1000genomes.org/about#g1k_data_reuse
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR151/001/SRR1517871/SRR1517871_1.fastq.gz,7af8ea9994d1430b08e3869e2db90561,1000 Genomes on GRCh38,sequence,Exome,HG01583,"Punjabi in Lahore, Pakistan",http://www.1000genomes.org/about#g1k_data_reuse
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR151/005/SRR1517965/SRR1517965_1.fastq.gz,b2c3b3c427f75cdf46a366a392b5d60a,1000 Genomes on GRCh38,sequence,Exome,HG01583,"Punjabi in Lahore, Pakistan",http://www.1000genomes.org/about#g1k_data_reuse
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR151/009/SRR1517999/SRR1517999_1.fastq.gz,d0df466c815801c6e6b4d0b93e1bb615,1000 Genomes on GRCh38,sequence,Exome,HG01583,"Punjabi in Lahore, Pakistan",http://www.1000genomes.org/about#g1k_data_reuse
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR151/000/SRR1518150/SRR1518150_2.fastq.gz,ea455bf177d1acdda07c870d0eac325a,1000 Genomes on GRCh38,sequence,Exome,HG01583,"Punjabi in Lahore, Pakistan",http://www.1000genomes.org/about#g1k_data_reuse
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR151/006/SRR1518156/SRR1518156_2.fastq.gz,c2354facaaad7a019e445e938e06ceae,1000 Genomes on GRCh38,sequence,Exome,HG01583,"Punjabi in Lahore, Pakistan",http://www.1000genomes.org/about#g1k_data_reuse
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR151/004/SRR1517864/SRR1517864_2.fastq.gz,6eeb667bdc97d4f360cf6641bfca6302,1000 Genomes on GRCh38,sequence,Exome,HG01583,"Punjabi in Lahore, Pakistan",http://www.1000genomes.org/about#g1k_data_reuse
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR151/001/SRR1517871/SRR1517871_2.fastq.gz,94c5e8d195095dc6ddcbf70a3324a427,1000 Genomes on GRCh38,sequence,Exome,HG01583,"Punjabi in Lahore, Pakistan",http://www.1000genomes.org/about#g1k_data_reuse
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR151/009/SRR1517999/SRR1517999_2.fastq.gz,094c8120aab5a28d020489bc0c4a5744,1000 Genomes on GRCh38,sequence,Exome,HG01583,"Punjabi in Lahore, Pakistan",http://www.1000genomes.org/about#g1k_data_reuse
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR151/000/SRR1518150/SRR1518150_1.fastq.gz,501a9cd3d1c20aa000aadd13934e4d73,1000 Genomes on GRCh38,sequence,Exome,HG01583,"Punjabi in Lahore, Pakistan",http://www.1000genomes.org/about#g1k_data_reuse
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR151/007/SRR1518157/SRR1518157_1.fastq.gz,5e3def7f942ec8380fb8a3612f5a0e12,1000 Genomes on GRCh38,sequence,Exome,HG01583,"Punjabi in Lahore, Pakistan",http://www.1000genomes.org/about#g1k_data_reuse
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR596/SRR596574/SRR596574_1.fastq.gz,1c274f223f089c4be594a100a41ac883,1000 Genomes on GRCh38,sequence,Exome,HG02687,"Punjabi in Lahore, Pakistan",http://www.1000genomes.org/about#g1k_data_reuse
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR596/SRR596576/SRR596576_2.fastq.gz,55d3034a0ab9c943fed923b0cb474d50,1000 Genomes on GRCh38,sequence,Exome,HG02787,"Punjabi in Lahore, Pakistan",http://www.1000genomes.org/about#g1k_data_reuse
