url,md5,Data collection,Data type,Analysis group,Sample,Population,Data reuse policy
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR070/SRR070561/SRR070561_2.fastq.gz,deb6c7d65806889c251d22cbe25f2cab,1000 Genomes on GRCh38,sequence,Exome,NA20811,Toscani in Italy,http://www.1000genomes.org/about#g1k_data_reuse
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR077/SRR077385/SRR077385_1.fastq.gz,69a333b7c574837ee585247113b3a119,1000 Genomes on GRCh38,sequence,Exome,NA20809,Toscani in Italy,http://www.1000genomes.org/about#g1k_data_reuse
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR077/SRR077388/SRR077388_2.fastq.gz,67160a880f81b26e1b646fbc52d4f51c,1000 Genomes on GRCh38,sequence,Exome,NA20810,Toscani in Italy,http://www.1000genomes.org/about#g1k_data_reuse
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR077/SRR077430/SRR077430_1.fastq.gz,7ae9582dde9f91db559d88ea3ae362b2,1000 Genomes on GRCh38,sequence,Exome,NA20828,Toscani in Italy,http://www.1000genomes.org/about#g1k_data_reuse
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR077/SRR077443/SRR077443_1.fastq.gz,ffc65d23b3fc0a9b1a9f14d7c911a37d,1000 Genomes on GRCh38,sequence,Exome,NA20826,Toscani in Italy,http://www.1000genomes.org/about#g1k_data_reuse
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR078/SRR078844/SRR078844_2.fastq.gz,d1111892d80a834bd3a94e204c62e17a,1000 Genomes on GRCh38,sequence,Exome,NA20812,Toscani in Italy,http://www.1000genomes.org/about#g1k_data_reuse
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR078/SRR078971/SRR078971.fastq.gz,89bcb3ec98f754b6d558c2c1483e5f74,1000 Genomes on GRCh38,sequence,Exome,NA20792,Toscani in Italy,http://www.1000genomes.org/about#g1k_data_reuse
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR078/SRR078974/SRR078974.fastq.gz,ed2dcf1bc7119654087f7b3c2b784edc,1000 Genomes on GRCh38,sequence,Exome,NA20778,Toscani in Italy,http://www.1000genomes.org/about#g1k_data_reuse
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR078/SRR078979/SRR078979.fastq.gz,da7932477dc750b206c4f103e93df40e,1000 Genomes on GRCh38,sequence,Exome,NA20785,Toscani in Italy,http://www.1000genomes.org/about#g1k_data_reuse
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR078/SRR078986/SRR078986.fastq.gz,fcd3f04ccca82e26a970a44783c630af,1000 Genomes on GRCh38,sequence,Exome,NA20790,Toscani in Italy,http://www.1000genomes.org/about#g1k_data_reuse
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR078/SRR078991/SRR078991.fastq.gz,247dd38d5955d3a2abfc8aa09144d3c3,1000 Genomes on GRCh38,sequence,Exome,NA20783,Toscani in Italy,http://www.1000genomes.org/about#g1k_data_reuse
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR078/SRR078993/SRR078993.fastq.gz,16b29141880a85561234b321fabcc7a2,1000 Genomes on GRCh38,sequence,Exome,NA20785,Toscani in Italy,http://www.1000genomes.org/about#g1k_data_reuse
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR078/SRR078998/SRR078998.fastq.gz,925da21b5dac20edb297bb9025c6ca95,1000 Genomes on GRCh38,sequence,Exome,NA20792,Toscani in Italy,http://www.1000genomes.org/about#g1k_data_reuse
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR079/SRR079005/SRR079005.fastq.gz,7d0fe61275b2248fb38f4ac9384a50da,1000 Genomes on GRCh38,sequence,Exome,NA20773,Toscani in Italy,http://www.1000genomes.org/about#g1k_data_reuse
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR079/SRR079010/SRR079010.fastq.gz,13fad3f0eb3750a41fdd14f2334767e8,1000 Genomes on GRCh38,sequence,Exome,NA20772,Toscani in Italy,http://www.1000genomes.org/about#g1k_data_reuse
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR079/SRR079012/SRR079012.fastq.gz,c5f312e0189cd8e119a598d1bd34e2c5,1000 Genomes on GRCh38,sequence,Exome,NA20786,Toscani in Italy,http://www.1000genomes.org/about#g1k_data_reuse
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR079/SRR079017/SRR079017.fastq.gz,58ed628b4959a1eb82a3cadc87d188a8,1000 Genomes on GRCh38,sequence,Exome,NA20772,Toscani in Italy,http://www.1000genomes.org/about#g1k_data_reuse
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR079/SRR079024/SRR079024.fastq.gz,23a5ffbcb5fa7af5c3d21f02dc12ab42,1000 Genomes on GRCh38,sequence,Exome,NA20785,Toscani in Italy,http://www.1000genomes.org/about#g1k_data_reuse
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR079/SRR079029/SRR079029.fastq.gz,d0ce44a4b29f0c2b586469c0d0cdc545,1000 Genomes on GRCh38,sequence,Exome,NA20770,Toscani in Italy,http://www.1000genomes.org/about#g1k_data_reuse
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR079/SRR079036/SRR079036.fastq.gz,06c22de2f40a17f9e2588c04a014e714,1000 Genomes on GRCh38,sequence,Exome,NA20770,Toscani in Italy,http://www.1000genomes.org/about#g1k_data_reuse
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR079/SRR079041/SRR079041.fastq.gz,72e810fa58449e82a701c4886486e4c5,1000 Genomes on GRCh38,sequence,Exome,NA20785,Toscani in Italy,http://www.1000genomes.org/about#g1k_data_reuse
