url,md5,Data collection,Data type,Analysis group,Sample,Population,Data reuse policy
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR070/SRR070490/SRR070490_2.fastq.gz,b3225cb8e29823ae1e5ad57a8abbee5e,1000 Genomes on GRCh38,sequence,Exome,HG01113,"Colombian in Medellin, Colombia",http://www.1000genomes.org/about#g1k_data_reuse
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR070/SRR070498/SRR070498_1.fastq.gz,949d9612a5e6c9e3030f37bc9a46e43b,1000 Genomes on GRCh38,sequence,Exome,HG01253,"Colombian in Medellin, Colombia",http://www.1000genomes.org/about#g1k_data_reuse
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR070/SRR070500/SRR070500_2.fastq.gz,4620afb89fffd17b59147ae2028d7955,1000 Genomes on GRCh38,sequence,Exome,HG01250,"Colombian in Medellin, Colombia",http://www.1000genomes.org/about#g1k_data_reuse
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR070/SRR070515/SRR070515_2.fastq.gz,9099f729f9a2b944c2d23231db7d30e7,1000 Genomes on GRCh38,sequence,Exome,HG01251,"Colombian in Medellin, Colombia",http://www.1000genomes.org/about#g1k_data_reuse
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR070/SRR070521/SRR070521_2.fastq.gz,85178431009e5a371ec15ed474d5854a,1000 Genomes on GRCh38,sequence,Exome,HG01254,"Colombian in Medellin, Colombia",http://www.1000genomes.org/about#g1k_data_reuse
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR070/SRR070527/SRR070527_2.fastq.gz,2d7a212ce66d59c31f340d35e8727f24,1000 Genomes on GRCh38,sequence,Exome,HG01497,"Colombian in Medellin, Colombia",http://www.1000genomes.org/about#g1k_data_reuse
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR070/SRR070785/SRR070785_1.fastq.gz,e23592d730b8ee2eaa5170ded025cbfd,1000 Genomes on GRCh38,sequence,Exome,HG01494,"Colombian in Medellin, Colombia",http://www.1000genomes.org/about#g1k_data_reuse
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR070/SRR070793/SRR070793_2.fastq.gz,d771028d0bf2f56964f95c16a0095e23,1000 Genomes on GRCh38,sequence,Exome,HG01495,"Colombian in Medellin, Colombia",http://www.1000genomes.org/about#g1k_data_reuse
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR070/SRR070797/SRR070797_1.fastq.gz,87fcb75c4a78a8e2d6dbabec9deb491f,1000 Genomes on GRCh38,sequence,Exome,HG01253,"Colombian in Medellin, Colombia",http://www.1000genomes.org/about#g1k_data_reuse
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR070/SRR070799/SRR070799_2.fastq.gz,1d51ee1ecbceb66ad375db4c4808292a,1000 Genomes on GRCh38,sequence,Exome,HG01251,"Colombian in Medellin, Colombia",http://www.1000genomes.org/about#g1k_data_reuse
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR070/SRR070820/SRR070820_1.fastq.gz,067a2b8ce56b19bae81c342f6c747627,1000 Genomes on GRCh38,sequence,Exome,HG01455,"Colombian in Medellin, Colombia",http://www.1000genomes.org/about#g1k_data_reuse
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR077/SRR077316/SRR077316_1.fastq.gz,8efea2cf2e51238cf5ae872aa8a23593,1000 Genomes on GRCh38,sequence,Exome,HG01360,"Colombian in Medellin, Colombia",http://www.1000genomes.org/about#g1k_data_reuse
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR077/SRR077359/SRR077359_2.fastq.gz,09b43793f73439657473eba71d890086,1000 Genomes on GRCh38,sequence,Exome,HG01360,"Colombian in Medellin, Colombia",http://www.1000genomes.org/about#g1k_data_reuse
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR078/SRR078860/SRR078860.fastq.gz,aa9417c203ffb303ee6c80c2c013fe31,1000 Genomes on GRCh38,sequence,Exome,HG01465,"Colombian in Medellin, Colombia",http://www.1000genomes.org/about#g1k_data_reuse
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR078/SRR078862/SRR078862.fastq.gz,e2e5745e82ea546ab2252bde9a4d0f82,1000 Genomes on GRCh38,sequence,Exome,HG01441,"Colombian in Medellin, Colombia",http://www.1000genomes.org/about#g1k_data_reuse
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR078/SRR078867/SRR078867.fastq.gz,1a03ac8220852fac8b922cb5ef15e644,1000 Genomes on GRCh38,sequence,Exome,HG01462,"Colombian in Medellin, Colombia",http://www.1000genomes.org/about#g1k_data_reuse
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR078/SRR078873/SRR078873.fastq.gz,4a567f4139831e906975b1bff52fd5a3,1000 Genomes on GRCh38,sequence,Exome,HG01440,"Colombian in Medellin, Colombia",http://www.1000genomes.org/about#g1k_data_reuse
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR078/SRR078878/SRR078878.fastq.gz,74073608e98865be3a54a3ab229baf56,1000 Genomes on GRCh38,sequence,Exome,HG01438,"Colombian in Medellin, Colombia",http://www.1000genomes.org/about#g1k_data_reuse
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR078/SRR078885/SRR078885.fastq.gz,105ab8af7b06b7e2df07815a8ee69536,1000 Genomes on GRCh38,sequence,Exome,HG01341,"Colombian in Medellin, Colombia",http://www.1000genomes.org/about#g1k_data_reuse
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR078/SRR078890/SRR078890.fastq.gz,f6fbac77d842f6a06c6d3859ddc9620c,1000 Genomes on GRCh38,sequence,Exome,HG01437,"Colombian in Medellin, Colombia",http://www.1000genomes.org/about#g1k_data_reuse
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR078/SRR078892/SRR078892.fastq.gz,4adc6e92f0fa64a348f269ca7aec4e0e,1000 Genomes on GRCh38,sequence,Exome,HG01462,"Colombian in Medellin, Colombia",http://www.1000genomes.org/about#g1k_data_reuse
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR078/SRR078897/SRR078897.fastq.gz,8f0e73775b3620309a02636a1f0f162a,1000 Genomes on GRCh38,sequence,Exome,HG01491,"Colombian in Medellin, Colombia",http://www.1000genomes.org/about#g1k_data_reuse
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR078/SRR078904/SRR078904.fastq.gz,9904a8961d64b649e377694d89889cfc,1000 Genomes on GRCh38,sequence,Exome,HG01341,"Colombian in Medellin, Colombia",http://www.1000genomes.org/about#g1k_data_reuse
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR078/SRR078909/SRR078909.fastq.gz,4e22db3c40e1b55de9b522185463f219,1000 Genomes on GRCh38,sequence,Exome,HG01359,"Colombian in Medellin, Colombia",http://www.1000genomes.org/about#g1k_data_reuse
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR078/SRR078916/SRR078916.fastq.gz,188e2e457219149af7de6066640fb34f,1000 Genomes on GRCh38,sequence,Exome,HG01464,"Colombian in Medellin, Colombia",http://www.1000genomes.org/about#g1k_data_reuse
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR078/SRR078921/SRR078921.fastq.gz,b15f9c222412c6f00958d05a4c91f888,1000 Genomes on GRCh38,sequence,Exome,HG01489,"Colombian in Medellin, Colombia",http://www.1000genomes.org/about#g1k_data_reuse
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR078/SRR078923/SRR078923.fastq.gz,3509d4203bfb85165ed01a3ee81ba0f6,1000 Genomes on GRCh38,sequence,Exome,HG01438,"Colombian in Medellin, Colombia",http://www.1000genomes.org/about#g1k_data_reuse
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR078/SRR078928/SRR078928.fastq.gz,19341bb48773f88e58758d3c1be560fb,1000 Genomes on GRCh38,sequence,Exome,HG01440,"Colombian in Medellin, Colombia",http://www.1000genomes.org/about#g1k_data_reuse
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR078/SRR078935/SRR078935.fastq.gz,de8ac28990ade6d2ad2a03f9aa045733,1000 Genomes on GRCh38,sequence,Exome,HG01440,"Colombian in Medellin, Colombia",http://www.1000genomes.org/about#g1k_data_reuse
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR078/SRR078940/SRR078940.fastq.gz,0e76cf12748dc69b52b9282e082b8b26,1000 Genomes on GRCh38,sequence,Exome,HG01461,"Colombian in Medellin, Colombia",http://www.1000genomes.org/about#g1k_data_reuse
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR078/SRR078942/SRR078942.fastq.gz,60b6ccf59caaf2ec5e4a7a3bea85594f,1000 Genomes on GRCh38,sequence,Exome,HG01489,"Colombian in Medellin, Colombia",http://www.1000genomes.org/about#g1k_data_reuse
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR078/SRR078947/SRR078947.fastq.gz,3881221e379cb093dd7c97e57a961e06,1000 Genomes on GRCh38,sequence,Exome,HG01461,"Colombian in Medellin, Colombia",http://www.1000genomes.org/about#g1k_data_reuse
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR078/SRR078954/SRR078954.fastq.gz,dfc961ee85f2d47de350527f22bb2f16,1000 Genomes on GRCh38,sequence,Exome,HG01342,"Colombian in Medellin, Colombia",http://www.1000genomes.org/about#g1k_data_reuse
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR078/SRR078959/SRR078959.fastq.gz,306a34550760ad47a2a2fe61770dd131,1000 Genomes on GRCh38,sequence,Exome,HG01342,"Colombian in Medellin, Colombia",http://www.1000genomes.org/about#g1k_data_reuse
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR078/SRR078966/SRR078966.fastq.gz,a22cf7a5bb9b0b936436da9c0cb049af,1000 Genomes on GRCh38,sequence,Exome,HG01461,"Colombian in Medellin, Colombia",http://www.1000genomes.org/about#g1k_data_reuse
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR079/SRR079106/SRR079106_1.fastq.gz,89e77aa4c499a45ff4b6826e55a4afbc,1000 Genomes on GRCh38,sequence,Exome,HG01462,"Colombian in Medellin, Colombia",http://www.1000genomes.org/about#g1k_data_reuse
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR079/SRR079108/SRR079108_2.fastq.gz,ffbef6e811e98b1b1235d08f3327ecd5,1000 Genomes on GRCh38,sequence,Exome,HG01437,"Colombian in Medellin, Colombia",http://www.1000genomes.org/about#g1k_data_reuse
