url,md5,Data collection,Data type,Analysis group,Sample,Population,Data reuse policy
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR151/001/SRR1517881/SRR1517881_1.fastq.gz,ba19c7f33644531606f1e822328e0ff1,1000 Genomes on GRCh38,sequence,Exome,HG03052,Mende in Sierra Leone,http://www.1000genomes.org/about#g1k_data_reuse
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR151/009/SRR1517889/SRR1517889_2.fastq.gz,150076c348ba7af83031a319482f46c1,1000 Genomes on GRCh38,sequence,Exome,HG03052,Mende in Sierra Leone,http://www.1000genomes.org/about#g1k_data_reuse
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR151/006/SRR1517956/SRR1517956_2.fastq.gz,68b025824a5a5dc1936bf9197a849c84,1000 Genomes on GRCh38,sequence,Exome,HG03052,Mende in Sierra Leone,http://www.1000genomes.org/about#g1k_data_reuse
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR151/001/SRR1518021/SRR1518021_2.fastq.gz,7dd859b5ac08d2dfc955743a9c149224,1000 Genomes on GRCh38,sequence,Exome,HG03052,Mende in Sierra Leone,http://www.1000genomes.org/about#g1k_data_reuse
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR151/000/SRR1518090/SRR1518090_2.fastq.gz,e5d552f49d766191d8eb3c18e1ca3aad,1000 Genomes on GRCh38,sequence,Exome,HG03052,Mende in Sierra Leone,http://www.1000genomes.org/about#g1k_data_reuse
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR151/001/SRR1518181/SRR1518181_2.fastq.gz,3d3655a87ba631c47bae503137a58499,1000 Genomes on GRCh38,sequence,Exome,HG03052,Mende in Sierra Leone,http://www.1000genomes.org/about#g1k_data_reuse
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR151/001/SRR1518261/SRR1518261_1.fastq.gz,705af3d66b76eb49ef6c4f0289cefc54,1000 Genomes on GRCh38,sequence,Exome,HG03052,Mende in Sierra Leone,http://www.1000genomes.org/about#g1k_data_reuse
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR151/001/SRR1517881/SRR1517881_2.fastq.gz,268ec1ca1c3744675fdd38c642ba2471,1000 Genomes on GRCh38,sequence,Exome,HG03052,Mende in Sierra Leone,http://www.1000genomes.org/about#g1k_data_reuse
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR151/000/SRR1517900/SRR1517900_2.fastq.gz,fc205ef2338e116a1142b9f29d9ce402,1000 Genomes on GRCh38,sequence,Exome,HG03052,Mende in Sierra Leone,http://www.1000genomes.org/about#g1k_data_reuse
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR151/005/SRR1517935/SRR1517935_2.fastq.gz,82fafd52532a3e4024bbd991db2fbc59,1000 Genomes on GRCh38,sequence,Exome,HG03052,Mende in Sierra Leone,http://www.1000genomes.org/about#g1k_data_reuse
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR151/006/SRR1517976/SRR1517976_1.fastq.gz,5b24e43eccd33f9d936e70019cf0696e,1000 Genomes on GRCh38,sequence,Exome,HG03052,Mende in Sierra Leone,http://www.1000genomes.org/about#g1k_data_reuse
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR151/000/SRR1518090/SRR1518090_1.fastq.gz,2aba7788145ff289dbeea7e00772ce48,1000 Genomes on GRCh38,sequence,Exome,HG03052,Mende in Sierra Leone,http://www.1000genomes.org/about#g1k_data_reuse
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR151/001/SRR1518261/SRR1518261_2.fastq.gz,86972c1d7693766abdde11183b6e643e,1000 Genomes on GRCh38,sequence,Exome,HG03052,Mende in Sierra Leone,http://www.1000genomes.org/about#g1k_data_reuse
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR591/SRR591752/SRR591752_1.fastq.gz,a1cafb1efcf68b951b94be2b1f4884b6,1000 Genomes on GRCh38,sequence,Exome,HG03096,Mende in Sierra Leone,http://www.1000genomes.org/about#g1k_data_reuse
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR591/SRR591753/SRR591753_1.fastq.gz,a01b8f6ab28677e8e2d6bd4c81c60dba,1000 Genomes on GRCh38,sequence,Exome,HG03472,Mende in Sierra Leone,http://www.1000genomes.org/about#g1k_data_reuse
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR591/SRR591802/SRR591802_2.fastq.gz,2fa3c1f85a817afb1affe5f2aeef66e9,1000 Genomes on GRCh38,sequence,Exome,HG03097,Mende in Sierra Leone,http://www.1000genomes.org/about#g1k_data_reuse
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR591/SRR591803/SRR591803_2.fastq.gz,8e9fe6090378f7ce22ea251d02835e66,1000 Genomes on GRCh38,sequence,Exome,HG03078,Mende in Sierra Leone,http://www.1000genomes.org/about#g1k_data_reuse
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR591/SRR591806/SRR591806_1.fastq.gz,46131b89a35e6ff9540ebc5c04ada983,1000 Genomes on GRCh38,sequence,Exome,HG03085,Mende in Sierra Leone,http://www.1000genomes.org/about#g1k_data_reuse
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR591/SRR591809/SRR591809_2.fastq.gz,39a9303cd8b095baf17818ea550faee6,1000 Genomes on GRCh38,sequence,Exome,HG03058,Mende in Sierra Leone,http://www.1000genomes.org/about#g1k_data_reuse
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR591/SRR591812/SRR591812_1.fastq.gz,62986f76ca06ccfde812721430c7af4b,1000 Genomes on GRCh38,sequence,Exome,HG03469,Mende in Sierra Leone,http://www.1000genomes.org/about#g1k_data_reuse
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR591/SRR591813/SRR591813_1.fastq.gz,6e33f1f952f4375bcb3db5776d4f7da0,1000 Genomes on GRCh38,sequence,Exome,HG03084,Mende in Sierra Leone,http://www.1000genomes.org/about#g1k_data_reuse
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR591/SRR591815/SRR591815_2.fastq.gz,4efe1fe52f206873cf01ae80573e3d61,1000 Genomes on GRCh38,sequence,Exome,HG03472,Mende in Sierra Leone,http://www.1000genomes.org/about#g1k_data_reuse
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR591/SRR591819/SRR591819_1.fastq.gz,aa318aa125994e9c839d69658ad0afef,1000 Genomes on GRCh38,sequence,Exome,HG03464,Mende in Sierra Leone,http://www.1000genomes.org/about#g1k_data_reuse
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR591/SRR591821/SRR591821_2.fastq.gz,e815f9b9b1889be62097437dbd961752,1000 Genomes on GRCh38,sequence,Exome,HG03469,Mende in Sierra Leone,http://www.1000genomes.org/about#g1k_data_reuse
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR591/SRR591823/SRR591823_1.fastq.gz,2f0c86a56b93785b7b55c4483922c93a,1000 Genomes on GRCh38,sequence,Exome,HG03096,Mende in Sierra Leone,http://www.1000genomes.org/about#g1k_data_reuse
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR591/SRR591825/SRR591825_2.fastq.gz,49798b1673f3b65d585550d3217bbb65,1000 Genomes on GRCh38,sequence,Exome,HG03469,Mende in Sierra Leone,http://www.1000genomes.org/about#g1k_data_reuse
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR591/SRR591829/SRR591829_1.fastq.gz,2e80bb799f3ce53dfcbaa86a0f526045,1000 Genomes on GRCh38,sequence,Exome,HG03058,Mende in Sierra Leone,http://www.1000genomes.org/about#g1k_data_reuse
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR591/SRR591831/SRR591831_2.fastq.gz,11273dabc163acfaed21c8d9dd01ddda,1000 Genomes on GRCh38,sequence,Exome,HG03058,Mende in Sierra Leone,http://www.1000genomes.org/about#g1k_data_reuse
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR591/SRR591835/SRR591835_1.fastq.gz,d39a62ca71f725c56e68475451b512c5,1000 Genomes on GRCh38,sequence,Exome,HG03078,Mende in Sierra Leone,http://www.1000genomes.org/about#g1k_data_reuse
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR591/SRR591837/SRR591837_2.fastq.gz,777c4b4d3cec8c5e187116953c8a1ebd,1000 Genomes on GRCh38,sequence,Exome,HG03052,Mende in Sierra Leone,http://www.1000genomes.org/about#g1k_data_reuse
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR591/SRR591838/SRR591838_2.fastq.gz,41f2949fdc5a94bff53ee2400a0d3285,1000 Genomes on GRCh38,sequence,Exome,HG03472,Mende in Sierra Leone,http://www.1000genomes.org/about#g1k_data_reuse
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR591/SRR591841/SRR591841_1.fastq.gz,f9a1da6d2933f328ff7530bb1e4738cf,1000 Genomes on GRCh38,sequence,Exome,HG03085,Mende in Sierra Leone,http://www.1000genomes.org/about#g1k_data_reuse
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR591/SRR591844/SRR591844_2.fastq.gz,f549a25637c59faf3d35cc5aa607564f,1000 Genomes on GRCh38,sequence,Exome,HG03078,Mende in Sierra Leone,http://www.1000genomes.org/about#g1k_data_reuse
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR591/SRR591847/SRR591847_1.fastq.gz,63454cee7a90851f7d97d8bc3d4b0e82,1000 Genomes on GRCh38,sequence,Exome,HG03472,Mende in Sierra Leone,http://www.1000genomes.org/about#g1k_data_reuse
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR591/SRR591848/SRR591848_1.fastq.gz,897070d66e2d46902b986dc9bbfed056,1000 Genomes on GRCh38,sequence,Exome,HG03084,Mende in Sierra Leone,http://www.1000genomes.org/about#g1k_data_reuse
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR591/SRR591850/SRR591850_2.fastq.gz,8457e04be5af743482f0305e1553dbf6,1000 Genomes on GRCh38,sequence,Exome,HG03452,Mende in Sierra Leone,http://www.1000genomes.org/about#g1k_data_reuse
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR591/SRR591854/SRR591854_1.fastq.gz,f73d8f67bae488801a82b2c752f700ca,1000 Genomes on GRCh38,sequence,Exome,HG03085,Mende in Sierra Leone,http://www.1000genomes.org/about#g1k_data_reuse
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR591/SRR591856/SRR591856_2.fastq.gz,0100c64dd84491dc78bd936f64cfe9ae,1000 Genomes on GRCh38,sequence,Exome,HG03078,Mende in Sierra Leone,http://www.1000genomes.org/about#g1k_data_reuse
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR591/SRR591860/SRR591860_1.fastq.gz,481c81e4c58c8608b6ac8720162e6b77,1000 Genomes on GRCh38,sequence,Exome,HG03452,Mende in Sierra Leone,http://www.1000genomes.org/about#g1k_data_reuse
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR591/SRR591862/SRR591862_2.fastq.gz,167a30e735eddfa1fe9742bfffb76827,1000 Genomes on GRCh38,sequence,Exome,HG03097,Mende in Sierra Leone,http://www.1000genomes.org/about#g1k_data_reuse
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR591/SRR591863/SRR591863_2.fastq.gz,fd4a0c8ecc21dbf39aff55eccf611e7f,1000 Genomes on GRCh38,sequence,Exome,HG03084,Mende in Sierra Leone,http://www.1000genomes.org/about#g1k_data_reuse
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR591/SRR591866/SRR591866_1.fastq.gz,56c206d31a6a4c0d70c8c505fc9968c2,1000 Genomes on GRCh38,sequence,Exome,HG03397,Mende in Sierra Leone,http://www.1000genomes.org/about#g1k_data_reuse
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR591/SRR591869/SRR591869_2.fastq.gz,45954cde6ee2314f5de85c398951fcce,1000 Genomes on GRCh38,sequence,Exome,HG03469,Mende in Sierra Leone,http://www.1000genomes.org/about#g1k_data_reuse
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR591/SRR591872/SRR591872_1.fastq.gz,8780342d9e93364d7c2c63b3dfe0d9c4,1000 Genomes on GRCh38,sequence,Exome,HG03472,Mende in Sierra Leone,http://www.1000genomes.org/about#g1k_data_reuse
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR591/SRR591873/SRR591873_2.fastq.gz,d4d811741de3d0025f052f72cd53532b,1000 Genomes on GRCh38,sequence,Exome,HG03452,Mende in Sierra Leone,http://www.1000genomes.org/about#g1k_data_reuse
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR591/SRR591876/SRR591876_1.fastq.gz,48cb6c32cebcc3d923ca40a3d756fcdc,1000 Genomes on GRCh38,sequence,Exome,HG03084,Mende in Sierra Leone,http://www.1000genomes.org/about#g1k_data_reuse
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR591/SRR591879/SRR591879_2.fastq.gz,4032c2126233c442b26631e5200ea10f,1000 Genomes on GRCh38,sequence,Exome,HG03084,Mende in Sierra Leone,http://www.1000genomes.org/about#g1k_data_reuse
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR591/SRR591882/SRR591882_1.fastq.gz,38789efabf7ed847f000c5f9fd43d115,1000 Genomes on GRCh38,sequence,Exome,HG03469,Mende in Sierra Leone,http://www.1000genomes.org/about#g1k_data_reuse
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR591/SRR591883/SRR591883_1.fastq.gz,a0de6255002235201dfe12dd05da7bce,1000 Genomes on GRCh38,sequence,Exome,HG03085,Mende in Sierra Leone,http://www.1000genomes.org/about#g1k_data_reuse
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR591/SRR591885/SRR591885_2.fastq.gz,0c7ab4544d7197d48285628bb7d6989a,1000 Genomes on GRCh38,sequence,Exome,HG03451,Mende in Sierra Leone,http://www.1000genomes.org/about#g1k_data_reuse
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR591/SRR591889/SRR591889_1.fastq.gz,2f280c566be10d0db62884c10e573f71,1000 Genomes on GRCh38,sequence,Exome,HG03085,Mende in Sierra Leone,http://www.1000genomes.org/about#g1k_data_reuse
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR591/SRR591891/SRR591891_2.fastq.gz,e463b67ac23609b5f02c98517c5e4359,1000 Genomes on GRCh38,sequence,Exome,HG03452,Mende in Sierra Leone,http://www.1000genomes.org/about#g1k_data_reuse
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR591/SRR591895/SRR591895_1.fastq.gz,4db8e09b2d9a4a11ed2145c9f8ca50d9,1000 Genomes on GRCh38,sequence,Exome,HG03469,Mende in Sierra Leone,http://www.1000genomes.org/about#g1k_data_reuse
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR591/SRR591897/SRR591897_2.fastq.gz,fd068cc2c01346535d62e56e1b09618f,1000 Genomes on GRCh38,sequence,Exome,HG03085,Mende in Sierra Leone,http://www.1000genomes.org/about#g1k_data_reuse
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR591/SRR591898/SRR591898_2.fastq.gz,0fbcbb0f07b69650f6f47b6afe98468c,1000 Genomes on GRCh38,sequence,Exome,HG03451,Mende in Sierra Leone,http://www.1000genomes.org/about#g1k_data_reuse
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR591/SRR591901/SRR591901_1.fastq.gz,aed943c575ce39f0cef811284a269c6f,1000 Genomes on GRCh38,sequence,Exome,HG03452,Mende in Sierra Leone,http://www.1000genomes.org/about#g1k_data_reuse
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR591/SRR591904/SRR591904_2.fastq.gz,f442441f57df74c50b376f70d734aa43,1000 Genomes on GRCh38,sequence,Exome,HG03052,Mende in Sierra Leone,http://www.1000genomes.org/about#g1k_data_reuse
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR591/SRR591907/SRR591907_1.fastq.gz,51d0dc4a0ac135b6b68c4dac064c2c9b,1000 Genomes on GRCh38,sequence,Exome,HG03078,Mende in Sierra Leone,http://www.1000genomes.org/about#g1k_data_reuse
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR591/SRR591908/SRR591908_1.fastq.gz,713905b9dbc82f169a1ba02ec37284fd,1000 Genomes on GRCh38,sequence,Exome,HG03096,Mende in Sierra Leone,http://www.1000genomes.org/about#g1k_data_reuse
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR591/SRR591910/SRR591910_2.fastq.gz,6a20fba25f131d639b02f4747cda8160,1000 Genomes on GRCh38,sequence,Exome,HG03078,Mende in Sierra Leone,http://www.1000genomes.org/about#g1k_data_reuse
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR591/SRR591914/SRR591914_1.fastq.gz,a6507883c526ca7fb183c77d90e5d894,1000 Genomes on GRCh38,sequence,Exome,HG03472,Mende in Sierra Leone,http://www.1000genomes.org/about#g1k_data_reuse
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR591/SRR591916/SRR591916_2.fastq.gz,805ba883897e5bf37f1e61b30a02424e,1000 Genomes on GRCh38,sequence,Exome,HG03452,Mende in Sierra Leone,http://www.1000genomes.org/about#g1k_data_reuse
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR591/SRR591920/SRR591920_1.fastq.gz,c19b056e518a66e872629edbe3d2ddb4,1000 Genomes on GRCh38,sequence,Exome,HG03085,Mende in Sierra Leone,http://www.1000genomes.org/about#g1k_data_reuse
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR591/SRR591922/SRR591922_2.fastq.gz,6207f2e41df7e1a1f0c3b368cf68523f,1000 Genomes on GRCh38,sequence,Exome,HG03052,Mende in Sierra Leone,http://www.1000genomes.org/about#g1k_data_reuse
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR591/SRR591924/SRR591924_1.fastq.gz,f268fbb8fe667bcaf202ca8c85f01ab1,1000 Genomes on GRCh38,sequence,Exome,HG03472,Mende in Sierra Leone,http://www.1000genomes.org/about#g1k_data_reuse
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR591/SRR591926/SRR591926_2.fastq.gz,7967c81965f3e6ec61e61c5988b098fe,1000 Genomes on GRCh38,sequence,Exome,HG03057,Mende in Sierra Leone,http://www.1000genomes.org/about#g1k_data_reuse
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR591/SRR591930/SRR591930_1.fastq.gz,72f0ef659e52ab60a909b3ad0b57989b,1000 Genomes on GRCh38,sequence,Exome,HG03472,Mende in Sierra Leone,http://www.1000genomes.org/about#g1k_data_reuse
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR591/SRR591932/SRR591932_2.fastq.gz,80495450e5d66187dc4f6f31e0857ed2,1000 Genomes on GRCh38,sequence,Exome,HG03078,Mende in Sierra Leone,http://www.1000genomes.org/about#g1k_data_reuse
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR591/SRR591933/SRR591933_2.fastq.gz,1e84200dd8aa414dd7b7b1aaf19d52a5,1000 Genomes on GRCh38,sequence,Exome,HG03085,Mende in Sierra Leone,http://www.1000genomes.org/about#g1k_data_reuse
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR591/SRR591936/SRR591936_1.fastq.gz,f3de75d9e2dbd26b2babe28b56614945,1000 Genomes on GRCh38,sequence,Exome,HG03078,Mende in Sierra Leone,http://www.1000genomes.org/about#g1k_data_reuse
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR591/SRR591939/SRR591939_2.fastq.gz,8d9d63e7c40bcf70117f21200a18c2ad,1000 Genomes on GRCh38,sequence,Exome,HG03058,Mende in Sierra Leone,http://www.1000genomes.org/about#g1k_data_reuse
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR591/SRR591942/SRR591942_1.fastq.gz,7e7555ed2b3f4717b573ad98eaceda49,1000 Genomes on GRCh38,sequence,Exome,HG03058,Mende in Sierra Leone,http://www.1000genomes.org/about#g1k_data_reuse
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR591/SRR591943/SRR591943_1.fastq.gz,74f0c8ca5fee658f1e95770de4685332,1000 Genomes on GRCh38,sequence,Exome,HG03472,Mende in Sierra Leone,http://www.1000genomes.org/about#g1k_data_reuse
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR591/SRR591945/SRR591945_2.fastq.gz,8da7c7bd6d5b0146dadb5f9a0791e68a,1000 Genomes on GRCh38,sequence,Exome,HG03472,Mende in Sierra Leone,http://www.1000genomes.org/about#g1k_data_reuse
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR591/SRR591949/SRR591949_1.fastq.gz,3a82e0a7e887a8b3f53974ede624217d,1000 Genomes on GRCh38,sequence,Exome,HG03096,Mende in Sierra Leone,http://www.1000genomes.org/about#g1k_data_reuse
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR591/SRR591951/SRR591951_2.fastq.gz,67248ff1eecd5e1ca11f92e89eb1c9d4,1000 Genomes on GRCh38,sequence,Exome,HG03452,Mende in Sierra Leone,http://www.1000genomes.org/about#g1k_data_reuse
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR591/SRR591955/SRR591955_1.fastq.gz,3b2ca843289f7768d2874cba2ea2f055,1000 Genomes on GRCh38,sequence,Exome,HG03085,Mende in Sierra Leone,http://www.1000genomes.org/about#g1k_data_reuse
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR591/SRR591957/SRR591957_2.fastq.gz,8f80fd54298792630373ed1590ec5f30,1000 Genomes on GRCh38,sequence,Exome,HG03464,Mende in Sierra Leone,http://www.1000genomes.org/about#g1k_data_reuse
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR591/SRR591958/SRR591958_2.fastq.gz,90663125deb4d07c410866458a538755,1000 Genomes on GRCh38,sequence,Exome,HG03052,Mende in Sierra Leone,http://www.1000genomes.org/about#g1k_data_reuse
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR591/SRR591961/SRR591961_1.fastq.gz,57aaa4276387944cf1a73b0900718845,1000 Genomes on GRCh38,sequence,Exome,HG03464,Mende in Sierra Leone,http://www.1000genomes.org/about#g1k_data_reuse
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR591/SRR591964/SRR591964_2.fastq.gz,fcb809159d3c97bd25f2f762deebee33,1000 Genomes on GRCh38,sequence,Exome,HG03097,Mende in Sierra Leone,http://www.1000genomes.org/about#g1k_data_reuse
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR591/SRR591967/SRR591967_1.fastq.gz,d044e3a59eb1bbbb1ed09c7f93741d72,1000 Genomes on GRCh38,sequence,Exome,HG03058,Mende in Sierra Leone,http://www.1000genomes.org/about#g1k_data_reuse
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR591/SRR591968/SRR591968_1.fastq.gz,5b0ad614d5519cc0dea788f00be5f5cf,1000 Genomes on GRCh38,sequence,Exome,HG03397,Mende in Sierra Leone,http://www.1000genomes.org/about#g1k_data_reuse
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR591/SRR591970/SRR591970_2.fastq.gz,78fb00cbd37c36f3568c5ac8a6309827,1000 Genomes on GRCh38,sequence,Exome,HG03052,Mende in Sierra Leone,http://www.1000genomes.org/about#g1k_data_reuse
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR591/SRR591973/SRR591973_2.fastq.gz,ce6bfae0622c1bd9007452d04d41d5a1,1000 Genomes on GRCh38,sequence,Exome,HG03078,Mende in Sierra Leone,http://www.1000genomes.org/about#g1k_data_reuse
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR591/SRR591976/SRR591976_1.fastq.gz,866f222fe40ecfcb5918cb3402b4983e,1000 Genomes on GRCh38,sequence,Exome,HG03057,Mende in Sierra Leone,http://www.1000genomes.org/about#g1k_data_reuse
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR591/SRR591979/SRR591979_2.fastq.gz,891c100ed51c43bd8bf8c022081a6960,1000 Genomes on GRCh38,sequence,Exome,HG03452,Mende in Sierra Leone,http://www.1000genomes.org/about#g1k_data_reuse
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR591/SRR591982/SRR591982_1.fastq.gz,7fbdfb7c549688a29be6498e4bf76a8d,1000 Genomes on GRCh38,sequence,Exome,HG03451,Mende in Sierra Leone,http://www.1000genomes.org/about#g1k_data_reuse
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR591/SRR591983/SRR591983_1.fastq.gz,661688aada004f8b7bca9ce942d27365,1000 Genomes on GRCh38,sequence,Exome,HG03057,Mende in Sierra Leone,http://www.1000genomes.org/about#g1k_data_reuse
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR591/SRR591985/SRR591985_2.fastq.gz,8aa419ef125f290f646820b6e285b183,1000 Genomes on GRCh38,sequence,Exome,HG03058,Mende in Sierra Leone,http://www.1000genomes.org/about#g1k_data_reuse
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR591/SRR591989/SRR591989_1.fastq.gz,f748bb67937d7387ea565626f5b52bff,1000 Genomes on GRCh38,sequence,Exome,HG03451,Mende in Sierra Leone,http://www.1000genomes.org/about#g1k_data_reuse
